rvtr,title,artist,artists,albums,release_year,chart_rows,representative_week,duplicate_identity_count,status,priority,issues
"RVTR232964","Rooty Toot Toot","john mellencamp","john mellencamp","The Lonesome Jubilee","1987","8","1988-05-14","1","VALID","0",""
"RVTR232990","You Light Up My Life","leann rimes","","","","20","1997-09-13","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233007","Real Big","mannie fresh","mannie fresh","The Mind Of Mannie Fresh","2005","12","2004-10-16","1","VALID","0",""
"RVTR233047","Groovy Grubworm","harlow wilcox and the oakies","","","","12","1969-10-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233048","Bittersweet Me","r.e.m","","","","12","1996-11-16","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233112","Jukin","atlanta rhythm section","","","","4","1976-06-05","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233159","Lisa","jeanne black","","","","9","1960-07-23","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233180","Can I Get A Witness","lee michaels","lee michaels","Lee Michaels","1969","9","1971-11-20","1","VALID","0",""
"RVTR233181","You All Over Me Taylor'S Version From The Vault","taylor swift","","","","2","2021-04-10","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233269","I Lost On Jeopardy","""weird al"" yankovic","""weird al"" yankovic","""Weird Al"" Yankovic In 3-D | The Essential ""Weird Al"" Yankovic","1984","3","1984-06-30","1","AMBIGUOUS","70","multiple_albums"
"RVTR233306","Have You Forgotten","darryl worley","darryl worley","Have You Forgotten?","2003","20","2003-03-15","1","VALID","0",""
"RVTR233307","Splash Warning","meek mill","meek mill","Championships","2018","1","2018-12-15","1","VALID","0",""
"RVTR233309","One Of These Days Sunday'S Gonna' Come On Tuesday","The New Establishment","","","","2","1969-11-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233372","Watch Out For Lucy","eric clapton and his band","","","","7","1979-02-24","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233374","Long Time Gone","dixie chicks","dixie chicks","Home | Playlist: The Very Best Of The Dixie Chicks | The Essential Dixie Chicks | Top Of The World Tour Live","2002","20","2002-06-22","1","AMBIGUOUS","70","multiple_albums"
"RVTR233399","Cool Again","kane brown","","","","20","2020-05-09","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233564","I Love You I'M Sorry","gracie abrams","","","","21","2024-08-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233579","I Dig You Baby","jerry butler","jerry butler","The Best Of Jerry Butler","1970","9","1967-01-21","1","VALID","0",""
"RVTR233633","Funny How Love Can Be","first class","","","","7","1975-05-24","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233642","No Regrets","eminem","","","","1","2020-02-01","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233685","Joe Joe Gunne","chuck berry","","","","5","1958-11-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233703","Get Off Of My Cloud","The Rolling Stones","The Rolling Stones","Big Hits (High Tide And Green Grass) | December's Children (And Everybody's) | From The Vault: Hampton Coliseum (Live In 1981) | Got Live If You Want It! | GRRR! | Hot Rocks 1964-1971 | Singles Collection - The London Years","1965","12","1965-10-09","1","AMBIGUOUS","70","multiple_albums"
"RVTR233717","Philadelphia U S A","The Nu Tornados","","","","12","1958-11-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233723","Make Me","britney spears","britney spears","Glory","2016","9","2016-08-06","1","VALID","0",""
"RVTR233740","Beggin' On Your Knees","victorious cast","","","","4","2011-04-16","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233761","Crazy Downtown","allan sherman","","","","8","1965-03-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233815","Press","cardi b","","","","16","2019-06-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233838","You Ought To Be With Me","al green","al green","Call Me | Greatest Hits","1973","15","1972-10-21","1","AMBIGUOUS","70","multiple_albums"
"RVTR233881","Puppet Man Resurrection Shuffle","tom jones","","","","11","1971-05-22","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233890","Skybox","gunna","","","","2","2020-03-21","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR233918","Real Real Real","jesus jones","jesus jones","Doubt","1991","20","1991-08-24","1","VALID","0",""
"RVTR233999","Rollin","calvin harris","calvin harris","Funk Wav Bounces Vol. 1","2017","4","2017-06-03","1","VALID","0",""
"RVTR234075","Nights In White Satin","The Moody Blues","The Moody Blues","Greatest Hits","1989","18","1972-08-05","1","VALID","0",""
"RVTR234085","Fight For You","jason derulo","jason derulo","Future History","2011","1","2011-10-15","1","VALID","0",""
"RVTR234113","Hang On","floyd cramer","","","","2","1961-09-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR234152","Somebody To Love","bobby darin","","","","9","1960-09-24","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR234179","With Pen In Hand","bobby goldsboro","bobby goldsboro","Bobby Goldsboro's Greatest Hits | Honey","1968","5","1972-09-16","1","AMBIGUOUS","70","multiple_albums"
"RVTR234192","I Think Of You","perry como","perry como","I Think Of You","1971","8","1971-03-20","1","VALID","0",""
"RVTR234238","Dead Trollz","youngboy never broke again","","","","1","2020-09-26","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR234255","Israelites","desmond dekker and the aces","","","","10","1969-05-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR234265","Come Live With Me","roy clark","roy clark","The Best Of Roy Clark","1971","3","1973-05-26","1","VALID","0",""
"RVTR234320","The Lucky One","faith hill","faith hill","Fireflies","2005","9","2006-04-08","1","VALID","0",""
"RVTR234336","I Will Follow","u2","u2","Boy | The Best Of 1980-1990 | The Best Of 1980-1990/The B-Sides","1981","5","1984-01-14","1","AMBIGUOUS","70","multiple_albums"
"RVTR234358","My Whole World Is Falling Down","brenda lee","brenda lee","By Request","1964","9","1963-07-06","1","VALID","0",""
"RVTR234384","On The Good Ship Lollipop","The Wonder Who?","","","","3","1966-07-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR234396","True Love Ways","peter and gordon","","","","11","1965-04-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR234403","Rapper'S Delight","sugarhill gang","","","","12","1979-11-10","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR234517","Tambourine","eve","","","","17","2007-05-26","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR234557","Throw Ya Gunz","onyx","onyx","Bacdafucup: Part II","2002","3","1993-04-03","1","VALID","0",""
"RVTR234589","The Loco Motion","grand funk","","","","20","1974-03-09","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR234641","X","schoolboy q, 2 chainz","","","","5","2018-02-24","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR234663","Get Up I Feel Like Being Like A Sex Machine Part 1","james brown","","","","9","1970-07-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR234684","Voice Of America'S Sons","john cafferty","","","","8","1986-06-14","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR234713","Storm","lenny kravitz","","","","1","2004-08-28","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR234790","Living In Oblivion","anything box","","","","10","1990-02-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR234796","I Can'T Tell You Why","brownstone","","","","13","1995-07-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR234860","Where The Boys Are","connie francis","connie francis","The Very Best Of Connie Francis","1963","15","1961-01-14","1","VALID","0",""
"RVTR234861","Hey Let'S Twist","joey dee","","","","6","1962-02-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR234889","Feel The Heat","jean beauvoir","jean beauvoir","Drums Along The Mohawk","1986","8","1986-06-14","1","VALID","0",""
"RVTR234907","Tonight","eddie fisher","","","","6","1961-11-04","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR234953","Am I Dreaming","ol skool","ol skool","Ol Skool","1998","13","1998-02-07","1","VALID","0",""
"RVTR235031","If You Really Love Me","stevie wonder","stevie wonder","Stevie Wonder's Greatest Hits, Vol. 2 | Where I'm Coming From","1971","14","1971-08-14","1","AMBIGUOUS","70","multiple_albums"
"RVTR235046","Never Gonna Let Him Know","debbie taylor","","","","6","1969-04-26","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235056","To Be Young, Gifted And Black","nina simone","nina simone","Black Gold","1970","7","1969-12-13","1","VALID","0",""
"RVTR235081","Saturday Love","cherrelle","cherrelle","High Priority","1986","17","1986-02-15","1","VALID","0",""
"RVTR235083","One Honest Heart","reba","","","","10","1999-05-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235093","Paper In Fire","john mellencamp","john mellencamp","The Best That I Could Do 1978 - 1988 | The Lonesome Jubilee | Words & Music: John Mellencamp's Greatest Hits","1987","16","1987-08-15","1","AMBIGUOUS","70","multiple_albums"
"RVTR235109","You Should Probably Leave","chris stapleton","","","","36","2021-07-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235115","Soldier Of Love","donny osmond","donny osmond","Donny Osmond","1989","18","1989-03-25","1","VALID","0",""
"RVTR235144","Love Is Contagious","taja sevelle","","","","10","1987-09-12","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235169","Nobody Wins","brenda lee","","","","5","1973-03-31","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235181","Fifteen","taylor swift","taylor swift","Fearless","2008","21","2008-11-29","1","VALID","0",""
"RVTR235209","Listen Lonely Girl","johnny mathis","","","","8","1964-10-24","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235241","I'M Not Your Puppet","hi-c","","","","13","1991-08-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235294","After The Lovin'","engelbert humperdinck","","","","19","1976-10-23","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235334","Ob La Di Ob La Da","arthur conley","","","","6","1969-01-04","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235428","A Little Bitty Tear","burl ives","","","","15","1961-12-16","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235443","Life Goes On","oliver tree","","","","5","2021-10-23","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235498","Beautiful Day","u2","u2","All That You Can't Leave Behind | The Best Of 1990-2000 | The Best Of 1990-2000 & B-Sides | U218: Singles","2000","25","2000-10-07","1","AMBIGUOUS","70","multiple_albums"
"RVTR235511","Pretzel Logic","steely dan","steely dan","Greatest Hits | Pretzel Logic","1974","5","1974-10-12","1","AMBIGUOUS","70","multiple_albums"
"RVTR235539","Start Up Again","polo g","","","","1","2021-12-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235560","Big Truck","youngboy never broke again","","","","1","2023-05-06","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235672","I'M Ready For Love","martha","","","","10","1966-10-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235724","You Could Have Been A Lady","april wine","","","","11","1972-03-25","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235732","Frankie'S Man Johnny","johnny cash","","","","7","1959-04-25","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235738","I Must Be Dreaming","nat king cole","nat king cole","Looking Back","1965","4","1959-05-23","1","VALID","0",""
"RVTR235746","Ain'T That Some","morgan wallen","","","","20","2023-03-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235794","Better Days","neiked x mae muller x polo g","","","","20","2021-10-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235878","That'S Just What You Are","aimee mann","","","","6","1995-01-21","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235885","Angel","javier colon","","","","1","2011-07-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235953","Freedom","jimi hendrix","jimi hendrix","Blue Wild Angel: Live At The Isle Of Wright | First Rays Of The New Rising Sun | The Cry Of Love | Voodoo Soup","1971","8","1971-04-03","1","AMBIGUOUS","70","multiple_albums"
"RVTR235955","A Matter Of Trust","billy joel","billy joel","A Matter Of Trust: The Bridge to Russia: The Concert | Greatest Hits Volume III | Kohuept (Live In Leningrad) | The Bridge","1986","18","1986-08-09","1","AMBIGUOUS","70","multiple_albums"
"RVTR235965","5 Foot 9","tyler hubbard","","","","22","2022-06-25","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR235973","Bridge Over Troubled Water","tessanne chin","","","","1","2013-12-28","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236009","Fool'S Paradise","The Sylvers","","","","3","1972-09-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236021","Dreamin'","will to power","will to power","Will To Power","1988","16","1987-06-27","1","VALID","0",""
"RVTR236063","Clap Back","ja rule","ja rule","Blood In My Eye","2003","10","2003-10-25","1","VALID","0",""
"RVTR236107","A Closer Walk","pete fountain","","","","3","1960-02-06","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236112","Right On Track","The Breakfast Club","","","","19","1987-03-14","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236124","The Business","tiesto","","","","14","2021-03-06","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236133","The Lost Penny","brook benton","","","","2","1962-01-13","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236135","Forty Miles Of Bad Road","duane eddy and the rebels","","","","15","1959-06-13","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236149","Vision Of Love","mariah carey","mariah carey","#1 To Infinity | Mariah Carey | MTV Unplugged EP | The Ballads","1990","22","1990-06-02","1","AMBIGUOUS","70","multiple_albums"
"RVTR236150","Me Without You","mary wells","","","","2","1965-09-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236208","Not Afraid","eminem","eminem","Recovery","2010","25","2010-05-22","1","VALID","0",""
"RVTR236248","Don'T Let The Sun Catch You Crying","gerry and the pacemakers","","","","12","1964-05-23","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236297","Fuel","eminem","","","","3","2024-07-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236298","You And Me Tonight","deja","","","","12","1987-11-21","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236424","Where Do I Go","carla thomas","","","","2","1968-10-19","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236511","You Put The Beat In My Heart","eddie rabbitt","","","","5","1983-09-10","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236578","Hip Hug Her","booker t","","","","13","1967-03-25","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236609","Dirty White Boy","foreigner","foreigner","40: Forty Hits From Forty Years - 1977-2017 | Complete Greatest Hits | Extended Versions | Feels Like The First Time | Head Games | Juke Box Heroes | No End In Sight: The Very Best Of Foreigner | Records","1979","14","1979-09-08","1","AMBIGUOUS","70","multiple_albums"
"RVTR236675","Fa All Y'All","da brat","","","","18","1994-10-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236696","Nobody Wants To Be Lonely","ricky martin duet","","","","19","2001-01-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236741","Push It","salt-n-pepa","","","","25","1987-11-21","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236746","Sick Of Myself","matthew sweet","matthew sweet","100% Fun","1995","20","1995-05-27","1","VALID","0",""
"RVTR236747","Love Me With All Your Heart Cuando Calienta El Sol","The Ray Charles Singers","","","","15","1964-04-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236748","Whatchu Kno About Me","glorilla","glorilla","GLORIOUS","2024","22","2024-10-26","1","VALID","0",""
"RVTR236757","Blistered See Ruby Fall","johnny cash","","","","6","1969-11-22","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236772","Image Part 1","hank levine and orchestra","","","","1","1961-10-07","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR236775","None Of Ur Friends Business","ginuwine","ginuwine","100% Ginuwine","1999","15","1999-12-11","1","VALID","0",""
"RVTR236894","Why","annie lennox","annie lennox","Diva | The Annie Lennox Collection","1992","20","1992-05-16","1","AMBIGUOUS","70","multiple_albums"
"RVTR236944","My Moment","dj drama","","","","7","2012-10-20","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR237033","Whistle While You Twurk","ying yang twins","","","","14","2000-03-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR237038","Almost Like Praying","lin-manuel miranda","","","","1","2017-10-28","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR237175","How Do You Do","roxette","roxette","Tourism","1992","8","1992-10-17","1","VALID","0",""
"RVTR237233","Cheerleader","omi","","","","35","2015-05-09","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR237396","The Talkin' Song Repair Blues","alan jackson","alan jackson","What I Do","2004","2","2005-07-09","1","VALID","0",""
"RVTR237429","Mony Mony","tommy james and the shondells","tommy james and the shondells","The Essentials","2011","17","1968-04-06","1","VALID","0",""
"RVTR237448","Screams Of Passion","The Family","","","","6","1985-09-28","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR237491","Sharp Dressed Man","zz top","zz top","Eliminator | Greatest Hits | The Very Best Of ZZ Top: Rancho Texicano","1983","9","1983-07-23","1","AMBIGUOUS","70","multiple_albums"
"RVTR237504","Pretty Boy Lonely","patti page","","","","1","1963-03-09","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR237516","The Future'S So Bright I Gotta Wear Shades","timbuk 3","timbuk 3","Greetings From Timbuk 3","1986","16","1986-10-25","1","VALID","0",""
"RVTR237521","American Pie","madonna","","","","9","2000-02-19","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR237553","Annabella","hamilton, joe frank","","","","7","1971-08-28","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR237588","Superhero","daze","","","","3","1998-05-23","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR237620","How Do You Talk To An Angel","The Heights","","","","20","1992-10-03","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR237694","Keem O Sabe","The Electric Indian","The Electric Indian","Keem-O-Sabe","1969","11","1969-08-02","1","VALID","0",""
"RVTR237741","Lonely Teardrops","narvel felts","","","","4","1976-05-22","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR237794","I'D Rather Love You","charley pride","charley pride","The Incomparable Charley Pride","1973","3","1971-03-13","1","VALID","0",""
"RVTR237796","F Ck You","lily allen","","","","2","2009-02-28","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR237853","The Ten Commandments Of Love","peaches","","","","5","1968-02-24","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR237885","Hair","lady gaga","lady gaga","Born This Way","2011","1","2011-06-04","1","VALID","0",""
"RVTR237898","I'Ve Been Everywhere","hank snow","","","","8","1962-09-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR237902","Tattoo","tito double p","","","","8","2025-03-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR237907","Can'T Be Tamed","miley cyrus","","","","10","2010-06-05","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR237911","Otw","dj luke nasty","","","","8","2017-01-07","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR237930","The Black Eyed Boys","paper lace","paper lace","Paper Lace","1974","9","1974-10-12","1","VALID","0",""
"RVTR237942","We Almost Broke Up Again Last Night","sabrina carpenter","","","","3","2025-09-13","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR237949","Back To Me","The Marias","","","","1","2025-04-19","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238083","Seasons Of Love","cast of rent","","","","12","2005-08-20","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238107","Any Way You Want It","The Dave Clark Five","The Dave Clark Five","Coast To Coast | The Dave Clark Five's Greatest Hits | The History Of The Dave Clark Five","1965","12","1964-11-14","1","AMBIGUOUS","70","multiple_albums"
"RVTR238136","Livin' Ain'T Livin'","firefall","firefall","Firefall","1976","8","1976-06-05","1","VALID","0",""
"RVTR238157","Did It Again","lil tecca","","","","7","2019-08-31","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238199","The Dolphin'S Cry","live","live","Awake: The Best Of Live | The Distance To Here","1999","10","1999-10-16","1","AMBIGUOUS","70","multiple_albums"
"RVTR238279","Pushover","etta james","etta james","Her Best","2012","10","1963-04-20","1","VALID","0",""
"RVTR238302","A Mess Of Blues","elvis presley","elvis presley","Elvis' Gold Records, Volume 4","1968","11","1960-07-23","1","VALID","0",""
"RVTR238304","Don'T Be Afraid Do As I Say","frankie karl","","","","1","1968-12-14","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238327","Soul Makossa","manu dibango","manu dibango","Soul Makossa","1973","9","1973-06-23","1","VALID","0",""
"RVTR238356","Think About It","lyn collins","","","","7","1972-09-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238389","Sugar Cane","spacemonkeyz","","","","4","1998-01-24","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238407","Over You","miranda lambert","miranda lambert","Four The Record","2011","20","2011-11-19","1","VALID","0",""
"RVTR238411","Take Me Home Tonight","eddie money","eddie money","Can't Hold Back","1986","23","1986-08-16","1","VALID","0",""
"RVTR238413","Killa","cherish","cherish","The Truth","2008","15","2008-02-23","1","VALID","0",""
"RVTR238436","Go Part 1","polo g","polo g","Hall of Fame","2021","1","2021-06-26","1","VALID","0",""
"RVTR238439","That'S What I Like","jive bunny","","","","5","1990-02-03","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238454","I Idolize You","ike","","","","4","1960-12-10","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238508","Can'T Stop Dancin'","becky g","","","","3","2015-01-10","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238564","90'S Girl","blackgirl","","","","13","1994-07-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238566","1999","prince","prince","1999 | 4Ever | The Hits 1 | The Hits/The B-Sides | Ultimate","1982","30","1982-10-30","1","AMBIGUOUS","70","multiple_albums"
"RVTR238608","The Boy Is Mine","ariana grande","","","","20","2024-03-23","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238621","Latina Foreva","karol g","","","","5","2025-06-07","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238692","Sleeping Bag","zz top","zz top","Afterburner | The Very Best Of ZZ Top: Rancho Texicano","1985","17","1985-10-19","1","AMBIGUOUS","70","multiple_albums"
"RVTR238698","Aw Shucks Hush Your Mouth","jimmy reed","","","","5","1962-01-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238714","Tourniquet","zach bryan","zach bryan","Zach Bryan","2023","12","2023-09-09","1","VALID","0",""
"RVTR238752","Foot Stomping Part 1","The Flares","","","","15","1961-09-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238771","I Can'T Make It Alone","bill medley","","","","2","1968-05-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238781","Help Me Make It Through The Night","gladys knight and the pips","gladys knight and the pips","Best Of Gladys Knight & The Pips | Standing Ovation","1972","8","1972-03-25","1","AMBIGUOUS","70","multiple_albums"
"RVTR238782","Come To Me","tommy james and the shondells","","","","8","1970-05-16","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238822","To Know You Is To Love You","bobby vinton","bobby vinton","16 Most Requested Songs | Bobby Vinton's Greatest Hits Of Love","1970","7","1969-04-05","1","AMBIGUOUS","70","multiple_albums"
"RVTR238836","Cold Cold Heart","dinah washington","","","","1","1962-11-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238953","Regulate From Above The Rim","warren g","","","","20","1994-04-23","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238964","Burn Slow","wiz khalifa","","","","1","2015-09-26","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238979","Someday When I'M Gone From You","bobby vee and the crickets","","","","2","1962-09-22","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR238980","Happy Anywhere","blake shelton","","","","22","2020-08-08","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR239047","You Should Be Mine Don'T Waste Your Time","brian mcknight","brian mcknight","1989--2002: From There To Here","2002","20","1997-09-06","1","VALID","0",""
"RVTR239086","Life Changes","thomas rhett","thomas rhett","Life Changes","2017","14","2018-07-07","1","VALID","0",""
"RVTR239123","The Carroll County Accident","porter wagoner","porter wagoner","The Carroll County Accident","1969","4","1969-01-25","1","VALID","0",""
"RVTR239138","Dua Lipa","jack harlow","","","","4","2022-05-21","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR239176","All I Want Is You","miguel","miguel","All I Want Is You","2010","14","2010-10-02","1","VALID","0",""
