fileArtist,fileTitle,currentRvtr,proposedRvtr,currentIdentity,proposedIdentity,confidence,simulatedBucket,containmentScore,filePath
Rihanna & Jay Z,Umbrella,RVTR822648,RVTR249777,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Rihanna & Jay Z - Umbrella.mp4
Sweet,Fox On The Run - 45,RVTR488227,RVTR488785,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Sweet - Fox On The Run - 45.mp4
Nicki Minaj,Did It On 'Em,RVTR385654,RVTR693365,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Nicki Minaj - Did It On 'Em.mp4
Black Street,No Diggity,RVTR461100,RVTR686012,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Black Street - No Diggity.mp4
GAYLE,Abcdefu (EXPLICIT),RVTR359014,RVTR372294,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2020's/GAYLE - Abcdefu (EXPLICIT).mp4
Taco,Puttin on the Ritz,RVTR989859,RVTR030949,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Taco - Puttin on the Ritz.mp4
Elle King,Ex's & Oh's (2015),RVTR677924,RVTR811146,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Elle King - Ex's & Oh's (2015).mp4
Pitbull Feat. Ke$ha,Timber,RVTR201474,RVTR081246,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Pitbull - Timber Ft. Ke$Ha .mp4
J Geils Band,Love Stinks,RVTR295043,RVTR737964,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/J Geils Band - Love Stinks.mp4
Anne Murray,Dannys Song,RVTR471147,RVTR899250,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Anne Murray - Dannys Song.mp4
Frankie Valli,Swearin To God,RVTR737139,RVTR812965,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Frankie Valli - Swearin To God  1975 official video marco polo dj edit musica retro 70  hq.mp4
Madonna,Papa Dont Preach,RVTR690934,RVTR706725,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Madonna - Papa Dont Preach.mp4
Gwen McCrae,Rockin Chair,RVTR195718,RVTR422909,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Gwen McCrae - Rockin Chair.mp4
Gary Wright,Dream Weaver (MS),RVTR198061,RVTR893127,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Gary Wright - Dream Weaver.mp4
Queen,Bohemian Rhapsody (Wayne's World),RVTR145651,RVTR976054,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Queen - Bohemian Rhapsody.mp4
Split Enz,I Got You (1980),RVTR652633,RVTR910922,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Split Enz - I Got You (1980).mp4
Pink Floyd,Money (DSOTM),RVTR203952,RVTR651019,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Pink Floyd - Money (DSOTM).mp4
Dan & Shay,Glad You Exist,RVTR617515,RVTR714436,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/COUNTRY/FILL/Dan & Shay - Glad You Exist.mp4
Zedd Ft. Foxes,Clarity,RVTR459413,RVTR327995,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Zedd feat. Foxes - Clarity.mp4
2Pac feat. Talent,Changes,RVTR860501,RVTR859518,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/2Pac feat. Talent - Changes.mp4
Gary Wright,Dreamweaver,RVTR931239,RVTR893127,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Gary Wright - Dreamweaver.mp4
J Geils Band,Freeze Frame,RVTR454258,RVTR752304,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/J Geils Band - Freeze Frame.mp4
Pussycat Dolls,Don't Cha,RVTR450976,RVTR577466,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Pussycat Dolls - Don't Cha.mp4
Baby Bash & T Pain,Cyclone,RVTR578807,RVTR495264,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Baby Bash & T Pain - Cyclone.mp4
G Eazy & Kehlani,Good Life,RVTR099174,RVTR058756,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/G Eazy & Kehlani - Good Life.mp4
Mark Ronson,Uptown Funk (Original),RVTR932648,RVTR850947,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Mark Ronson - Uptown Funk.mp4
Alice Cooper,I'm Eighteen,RVTR060633,RVTR465803,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Alice Cooper - I'm Eighteen.mp4
Electric Light Orchestra,Telephone Line (Live),RVTR738439,RVTR613828,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/ELO - Telephone Line (Live).mp4
Auburn With Iyaz,La La La,RVTR299101,RVTR268873,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Auburn With Iyaz - La La La.mp4
Jay Sean &  Lil Wayne,Down,RVTR785512,RVTR930603,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Jay Sean &  Lil Wayne - Down.mp4
James Gang,Walk Away (1971),RVTR363968,RVTR489211,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/James Gang - Walk Away (1971).mp4
A$AP Rocky,Fkin' Problems,RVTR479672,RVTR919905,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/A$AP ROCKY - Fkin' Problems.mp4
Chubb Rock,Treat Em Right,RVTR839373,RVTR043821,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Chubb Rock - Treat Em Right.mp4
3 Doors Down,When I m Gone,RVTR533227,RVTR694462,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/3 Doors Down - When I m Gone.mp4
Jo Boxers,Just Got Lucky,RVTR704035,RVTR665148,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Jo Boxers - Just Got Lucky.mp4
Marrs,Pump Up The Volume,RVTR183513,RVTR646193,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Marrs - Pump Up The Volume.mp4
Sweet,The Ballroom Blitz,RVTR474161,RVTR388478,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Sweet - The Ballroom Blitz.mp4
Nazareth,Love Hurts (1974),RVTR167987,RVTR528354,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Nazareth - Love Hurts (1974).mp4
David Lee Roth,Goin Crazy,RVTR850303,RVTR229565,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/David Lee Roth - Goin Crazy.mp4
The Seeds,Pushin Too Hard,RVTR362946,RVTR952470,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Seeds - Pushin Too Hard.mp4
Sugarloaf,Green Eyed Lady,RVTR966874,RVTR966875,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Sugarloaf - Green Eyed Lady.mp4
David Bowie,Day In Day Out,RVTR800991,RVTR800992,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/David Bowie - Day In Day Out.mp4
Lulu,To Sir With Love  (BW),RVTR799239,RVTR265623,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Lulu - To Sir With Love (BW).mp4
Bobby Darin,Beyond the Sea (Finding Nemo),RVTR267896,RVTR645514,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Bobby Darin - Beyond the Sea.mp4
ZZ Top,La Grange (Peanuts),RVTR985742,RVTR529438,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/ZZ Top - La Grange (Peanuts).mp4
Hootie & The Blowfish,Time,RVTR556081,RVTR391144,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Hootie & The Blowfish - Time.mp4
Drake,Over [Clean Version],RVTR699868,RVTR665973,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Drake - Over (Clean Version).mp4
Danity Kane & Diddy,Damaged,RVTR623340,RVTR073947,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Danity Kane & Diddy - Damaged.mp4
Poison,Mama's Fallen Angel,RVTR541128,RVTR031079,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Poison - Mama's Fallen Angel.mp4
Run DMC,Down With The King,RVTR334046,RVTR045839,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Run DMC - Down With The King.mp4
Lil Jon Ft. Tyga,Bend Ova,RVTR740808,RVTR715609,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Lil Jon feat. Tyga - Bend Ova.MP4
Clarence Carter,Slip Away (Soul Train),RVTR312921,RVTR873580,vdj,hot100_vdj,100,exact,100,"/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Clarence Carter, ""Slip Away"".mp4"
Rick Nelson,It s Up To You,RVTR552366,RVTR896029,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Rick Nelson - It s Up To You.mp4
Little River Band,Lady 1978,RVTR707718,RVTR494787,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Little River Band - Lady 1978.mp4
Olivia Newton John,Xanadu,RVTR833280,RVTR507143,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Olivia Newton John - Xanadu.mp4
Bryan Adams,It's Only Love,RVTR270125,RVTR027221,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Bryan Adams - It's Only Love.mp4
Madonna,Music (Lp Version),RVTR047836,RVTR528167,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Madonna - Music (Lp Version).mp4
Chad & Jeremy,A Summer Song,RVTR622838,RVTR830178,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Chad & Jeremy - A Summer Song.mp4
Lizzo,Rumors feat. Cardi B,RVTR751296,RVTR015823,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Lizzo feat. Cardi B - Rumors.mp4
Dierks Bentley,Beers On Me,RVTR356873,RVTR030782,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Dierks Bentley - Beers On Me.mp4
Wale Ft. Tiara Thomas,Bad,RVTR280366,RVTR952487,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Wale feat. Tiara Thomas - Bad.mp4
Kool & The Gang,Celebration,RVTR212827,RVTR291160,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Kool & The Gang - Celebration.mp4
Blink 182,Whats My Age Again,RVTR105695,RVTR750527,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Blink 182 - Whats My Age Again.mp4
K7,Move It Like This (Clean),RVTR704244,RVTR463853,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/K7 - Move It Like This (Clean).mp4
Jamie Foxx & T Pain,Blame It,RVTR679354,RVTR807665,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Jamie Foxx & T Pain - Blame It.mp4
Hot Butter,Pop Corn (Dance),RVTR167187,RVTR882232,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Hot Butter - Pop Corn (Dance).mp4
Nelly,Shake Ya Tailfeather,RVTR048991,RVTR845614,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Nelly - Shake Ya Tailfeather.mp4
Minnie Riperton,Lovin You,RVTR936069,RVTR508665,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Minnie Riperton - Lovin You.mp4
Seals & Crofts,Diamond Girl,RVTR607356,RVTR501659,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Seals & Crofts - Diamond Girl.mp4
Marty Robbins,El Paso City,RVTR662124,RVTR130548,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/COUNTRY/FILL/Marty Robbins - El Paso City.mp4
Destiny's Child,Nasty Girl,RVTR077715,RVTR197362,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Destiny's Child - Nasty Girl.mp4
Snap!,Rhythm Is A Dancer 2003,RVTR481079,RVTR688337,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Snap! - Rhythm Is A Dancer 2003.mp4
Kool & The Gang,Ladies Night,RVTR953549,RVTR592610,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Kool & The Gang - Ladies Night.mp4
DJ Sammy & Yanou f.Do,Heaven,RVTR201409,RVTR526486,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/DJ Sammy & Yanou f.Do - Heaven.mp4
Bob Seger,We ve Got Tonight,RVTR604522,RVTR118259,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Bob Seger - We ve Got Tonight.mp4
Kool Moe Dee,Wild Wild West,RVTR923428,RVTR923429,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Kool Moe Dee - Wild Wild West.mp4
Jay Z,Run This Town,RVTR362357,RVTR518463,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Jay Z - Run This Town (Dirty).mp4
Boston,Foreplay/Long Time,RVTR063784,RVTR044755,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Boston - Foreplay_Long Time.mp4
Bulletboys,Smooth Up In Ya,RVTR996201,RVTR056547,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Bulletboys - Smooth Up In Ya.mp4
Rihanna Ft. Mikky Ekko,Stay,RVTR726583,RVTR060302,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Rihanna Ft. Mikky Ekko - Stay.mp4
Flo Rida,Sugar feat. Wynter,RVTR354329,RVTR324249,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Flo Rida feat. Wynter - Sugar.mp4
Queen,You re My Best Friend,RVTR134032,RVTR084326,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Queen - You re My Best Friend.mp4
Glenn Frey,Smugglers Blues,RVTR259871,RVTR887287,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Glenn Frey - Smugglers Blues.mp4
Godsmack,Cryin  Like A Bitch,RVTR878081,RVTR801046,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Godsmack - Cryin  Like A Bitch.mp4
Bee Gees,Staying Alive (Mix),RVTR793838,RVTR379778,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Bee Gees - Staying Alive (Mix).mp4
C+C Music Factory,Here We Go,RVTR812568,RVTR920045,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/C+C Music Factory - Here We Go.mp4
Pitbull feat. Lil Jon,Krazy,RVTR789125,RVTR989665,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Pitbull feat. Lil Jon - Krazy.mp4
MC Hammer,U Can't Touch This,RVTR793456,RVTR342953,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/MC Hammer - U Can't Touch This.mp4
Wreckx N Effect,Rump Shaker,RVTR462524,RVTR720027,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Wreckx N Effect - Rump Shaker.mp4
Jay Z,Can't Knock The Hustle,RVTR345659,RVTR827390,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Jay Z - Can't Knock The Hustle.mp4
Drake Ft. 21 Savage,Sneakin,RVTR432663,RVTR588690,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Drake feat. 21 Savage - Sneakin.mp4
B.O.B.,We Still In This Bitch,RVTR503419,RVTR592975,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/B.O.B. - We Still In This Bitch.mp4
AC/DC,Back In Black (Peanuts),RVTR179376,RVTR828046,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/AC_DC - Back In Black (Peanuts).mp4
Metallica,The Unforgiven Ii,RVTR646664,RVTR740598,hot100_vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Metallica - The Unforgiven Ii.mp4
Bad Company,Youngblood,RVTR901538,RVTR785258,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Bad Company - Youngblood.mp4d.mp4
"Earth, Wind & Fire",September,RVTR577946,RVTR349090,vdj,hot100,100,exact,100,"/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Earth, Wind & Fire - September .mp4"
Whitesnake,Here I Go Again 87,RVTR594301,RVTR153987,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Whitesnake - Here I Go Again 87.mp4
Jackson 5,ABC (Carol Burnett),RVTR569168,RVTR998338,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Jackson 5 - ABC (Carol Burnett).mp4
Daddy Yankee & Snow,Con Calma,RVTR858321,RVTR003548,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Daddy Yankee & Snow - Con Calma.mp4
Freda Payne,Band Of Gold (1970),RVTR326942,RVTR281567,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Freda Payne - Band Of Gold (1970).mp4
Kool & The Gang,Jungle Boogie,RVTR760298,RVTR995506,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Kool & The Gang - Jungle Boogie.mp4
Mouth & MacNeal,How Do You Do?,RVTR291554,RVTR521270,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Mouth & MacNeal - How Do You Do.mp4
Drake Ft Rihanna,Take Care,RVTR078455,RVTR610521,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Drake feat. Rihanna - Take Care.mp4
Justin Timberlake,Sexy Back,RVTR567651,RVTR851595,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Justin Timberlake - Sexy Back.mp4
Dan & Shay,From The Ground Up,RVTR446977,RVTR268145,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Dan & Shay - From The Ground Up.mp4
Joan Jett,I Love Rock N' Roll,RVTR631706,RVTR939765,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Joan Jett - I Love Rock N' Roll.mp4
The B-52's,Rock Lobster (Live),RVTR632869,RVTR284275,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/The B-52's - Rock Lobster (Live).mp4
Tyga Ft. Young Thug,Hookah,RVTR006778,RVTR243084,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Tyga feat. Young Thug - Hookah.MP4
Kool & The Gang,Get Down On It,RVTR606551,RVTR150986,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Kool & The Gang - Get Down On It.mp4
Donovan,Catch The Wind (Live),RVTR673480,RVTR399731,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Donovan - Catch The Wind (Live).mp4
The Beatles,A Hard Days Night,RVTR319953,RVTR140033,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Beatles - A Hard Days Night.mp4
Donovan,Catch The Wind (Live),RVTR673480,RVTR399731,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Donovan - Catch The Wind (Live).mp4
Ke$ha,Blah Blah Blah (feat. 3OH!3),RVTR135868,RVTR155781,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Ke$ha feat. 3OH!3 - Blah Blah Blah.mp4
Dr. Dre,Nuthin' But A 'G' Thang,RVTR011523,RVTR524582,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Dr. Dre - Nuthin' But A 'G' Thang.mp4
Billy Idol,White Wedding Pt 1,RVTR709702,RVTR345978,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Billy Idol - White Wedding Pt 1.mp4
Cheryl Barnes,Easy To Be Hard,RVTR397933,RVTR176357,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Cheryl Barnes - Easy To Be Hard.mp4
Janet Jackson,Together Again,RVTR345519,RVTR535107,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Janet Jackson - Together Again.mp4
Verve,Bittersweet Symphony,RVTR008942,RVTR163528,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Verve - Bittersweet Symphony.mp4
Shakira Ft. Maluma,Chantaje,RVTR704972,RVTR350525,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Shakira feat. Maluma - Chantaje.mp4
Chris Isaak,Wicked Game (Live),RVTR422798,RVTR433913,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Chris Isaak - Wicked Game (Live).mp4
Bee Gees,To Love Somebody (BW),RVTR331204,RVTR604727,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Bee Gees - To Love Somebody (BW).mp4
Lulu,To Sir With Love  (Color),RVTR936353,RVTR265623,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Lulu - To Sir With Love (Color).mp4
Green Day,American Idiot Live,RVTR010313,RVTR919948,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Green Day - American Idiot Live.mp4
Sammy Johns,Chevy Van(Clips),RVTR125633,RVTR356489,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Sammy Johns - Chevy Van (Clips).mp4
Ting Tings,That's Not My Name,RVTR277396,RVTR475559,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Ting Tings - That's Not My Name.mp4
Donna Summer,Hot Stuff(Live),RVTR305891,RVTR188932,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Donna Summer - Hot Stuff (Live).mp4
B Rock & The Bizz,My Baby Daddy,RVTR860850,RVTR515182,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/B Rock & The Bizz - My Baby Daddy.mp4
Colbie Caillat,Fallin For You,RVTR102699,RVTR607189,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Colbie Caillat - Fallin For You.mp4
The Beau Brummels,Laugh Laugh,RVTR024629,RVTR024630,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Beau Brummels - Laugh Laugh.mp4
Fergie,London Bridge (Oh Shit),RVTR794075,RVTR981076,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Fergie - London Bridge (Oh Shit).mp4
Tinashe Ft. Schoolboy Q,2 On,RVTR910220,RVTR790108,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Tinashe feat. Schoolboy Q - 2 On.MP4
Mouth & MacNeal,How Do You Do? (Wedding),RVTR291554,RVTR521270,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Mouth & MacNeal - How Do You Do_.mp4
Kylie Minogue,The Locomotion,RVTR213328,RVTR855919,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Kylie Minogue - The Locomotion.mp4
Teeflii Ft. 2 Chainz,24 Hours,RVTR410280,RVTR148806,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Teeflii feat. 2 Chainz - 24 Hours.mp4
Chris Brown & T Pain,Kiss Kiss,RVTR502384,RVTR319178,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Chris Brown & T Pain - Kiss Kiss.mp4
Dire Straits,Skateaway (Live),RVTR189173,RVTR575277,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Dire Straits - Skateaway (Live).mp4
Electric Boys,All Lips N  Hips,RVTR349283,RVTR971812,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Electric Boys - All Lips N  Hips.mp4
"Doja Cat, The Weeknd",You Right,RVTR254307,RVTR007163,vdj,hot100,100,exact,100,"/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Doja Cat, The Weeknd - You Right.mp4"
Madonna,Music : Disco Inferno,RVTR624229,RVTR528167,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Madonna - Music _ Disco Inferno.mp4
Tom Petty,Runnin Down A Dream,RVTR883062,RVTR986036,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Tom Petty - Runnin Down A Dream.mp4
Jim Stafford,Swamp Witch (1974),RVTR430060,RVTR510197,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Jim Stafford - Swamp Witch (1974).mp4
Poison,Nothin  But A Good Time,RVTR444988,RVTR116993,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Poison - Nothin  But A Good Time.mp4
